family,experiment_name,task_mode,method,input_mode,stage,split,folds,backbone_name,fusion_type,run_root,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,folded_2class_macro_f1_mean,folded_2class_macro_f1_std
prompt_qwen,data1_official_cv_3class_causal,3class,causal,triple_view,after,transfer_test,3,qwen2vl_prompt,prompt_candidate_score,/home/gjw/code/Qwen-SLM/runs/data1_official_cv_3class_causal,0.452970297029703,0.026505574924437312,0.41163210658194316,0.027370888760661276,0.34756413053416785,0.056203388842362534,0.3748080045392342,0.05222431974443038,0.45562933711170983,0.04340513178453923
prompt_qwen,data1_official_cv_3class_causal,3class,causal,triple_view,before,transfer_test,3,qwen2vl_prompt,prompt_candidate_score,/home/gjw/code/Qwen-SLM/runs/data1_official_cv_3class_causal,0.41336633663366334,0.0,0.3333333333333333,0.0,0.19497956800934035,0.0,0.24179396923930574,0.0,0.29246935201401053,0.0
qwen_vis,official_cv_2class_rgb_dual_baseline,2class,baseline,rgb_dual,after,transfer_test,3,qwen2vl_vision,mlp_fusion,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_2class_rgb_dual_baseline,0.584983498349835,0.002333685746490258,0.49918306846223165,0.0011553156602423097,0.3726531354276792,0.004127164543955341,0.4358863543468096,0.002953735493503363,0.0,0.0
qwen_vis,official_cv_2class_rgb_dual_causal,2class,causal,rgb_dual,after,transfer_test,3,qwen2vl_vision,mlp_fusion,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_2class_rgb_dual_causal,0.5998349834983498,0.018669485971922063,0.528937904781155,0.04092437740817061,0.44009196321318533,0.09950006942876168,0.4907710080247937,0.08057235709105882,0.0,0.0
qwen_vis,official_cv_3class_rgb_dual_baseline,3class,baseline,rgb_dual,after,transfer_test,3,qwen2vl_vision,mlp_fusion,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_3class_rgb_dual_baseline,0.6303630363036303,0.03197660457933353,0.6302928355826573,0.023469358372960346,0.5963584137870898,0.04940347074187402,0.5901127250908523,0.05105484655465115,0.6302322707313917,0.03205203683603691
qwen_vis,official_cv_3class_rgb_dual_causal,3class,causal,rgb_dual,after,transfer_test,3,qwen2vl_vision,mlp_fusion,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_3class_rgb_dual_causal,0.6386138613861386,0.02100317171841232,0.635935506662516,0.015798874372736985,0.6066950968436029,0.035076792979878764,0.6009013027953968,0.03610100575034622,0.6384105505117987,0.02105506742629824
qwen_vis,official_cv_3class_rgb_dual_last2blocks_baseline,3class,baseline,rgb_dual,after,transfer_test,3,qwen2vl_vision,mlp_fusion,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_3class_rgb_dual_last2blocks_baseline,0.5899339933993399,0.09703756058078651,0.6187509346749925,0.09275390666394012,0.5683949394764851,0.12718485554425807,0.5546427159779757,0.1275333072766347,0.5810533311465714,0.09422432774364244
qwen_vis,official_cv_3class_rgb_dual_last2blocks_baseline,3class,baseline,rgb_dual,before,transfer_test,3,qwen2vl_vision,mlp_fusion,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_3class_rgb_dual_last2blocks_baseline,0.6303630363036303,0.03197660457933353,0.6302928355826573,0.023469358372960346,0.5963584137870898,0.04940347074187402,0.5901127250908523,0.05105484655465115,0.6302322707313917,0.03205203683603691
qwen_vis,official_cv_3class_rgb_dual_last2blocks_causal,3class,causal,rgb_dual,after,transfer_test,3,qwen2vl_vision,mlp_fusion,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_3class_rgb_dual_last2blocks_causal,0.6105610561056105,0.0295881535924771,0.6288973085938215,0.0362575135094021,0.5807629979300107,0.052855964470718345,0.5703627781736251,0.05059521389960138,0.6064832433785513,0.023734779538436616
qwen_vis,official_cv_3class_rgb_dual_last2blocks_causal,3class,causal,rgb_dual,before,transfer_test,3,qwen2vl_vision,mlp_fusion,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_3class_rgb_dual_last2blocks_causal,0.6386138613861386,0.02100317171841232,0.635935506662516,0.015798874372736985,0.6066950968436029,0.035076792979878764,0.6009013027953968,0.03610100575034622,0.6384105505117987,0.02105506742629824
