scope,fold,split,manifest_path,condition_uid,condition_id,dataset_domain,label_3c,label_2c,role,n_manifest_rows,n_unique_manifest_ids,n_unique_original_sample_ids,n_duplicated_rows
official_cv,fold_02,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/train_manifest.jsonl,data1__High-05,High-05,data1,HEW,abnormal,unseen_strategy_shift,24,24,16,8
official_cv,fold_02,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/train_manifest.jsonl,data1__High-08,High-08,data1,HEW,abnormal,unseen_texture_shift,16,16,12,4
official_cv,fold_02,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/train_manifest.jsonl,data1__Low-01,Low-01,data1,normal,normal,causal_intervention_low,12,12,11,1
official_cv,fold_02,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/train_manifest.jsonl,data1__Low-03,Low-03,data1,LEL,abnormal,causal_intervention_low,25,25,25,0
official_cv,fold_02,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/train_manifest.jsonl,data1__Low-04,Low-04,data1,LEL,abnormal,causal_intervention_low,22,22,22,0
official_cv,fold_02,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/train_manifest.jsonl,data1__Low-06,Low-06,data1,LEL,abnormal,unseen_param_shift,11,11,11,0
official_cv,fold_02,val,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/val_manifest.jsonl,data1__Base-02,Base-02,data1,normal,normal,source_repeat,10,10,10,0
official_cv,fold_02,val,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/val_manifest.jsonl,data1__Equiv-02,Equiv-02,data1,normal,normal,causal_equiv_test,11,11,11,0
official_cv,fold_02,val,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/val_manifest.jsonl,data1__High-06,High-06,data1,HEW,abnormal,unseen_composite_shift,15,15,15,0
official_cv,fold_02,val,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/val_manifest.jsonl,data1__Low-07,Low-07,data1,LEL,abnormal,unseen_composite_shift,10,10,10,0
official_cv,fold_02,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/test_manifest.jsonl,data1__Equiv-01,Equiv-01,data1,normal,normal,causal_equiv_test,13,13,13,0
official_cv,fold_02,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/test_manifest.jsonl,data1__Gen-03,Gen-03,data1,normal,normal,unseen_texture_shift,12,12,12,0
official_cv,fold_02,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/test_manifest.jsonl,data1__High-01,High-01,data1,normal,normal,causal_intervention_high,10,10,10,0
official_cv,fold_02,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/test_manifest.jsonl,data1__High-02,High-02,data1,HEW,abnormal,causal_intervention_high,12,12,12,0
official_cv,fold_02,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/test_manifest.jsonl,data1__High-03,High-03,data1,HEW,abnormal,causal_intervention_high,13,13,13,0
official_cv,fold_02,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/test_manifest.jsonl,data1__High-07,High-07,data1,HEW,abnormal,unseen_texture_shift,7,7,7,0
official_cv,fold_02,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/test_manifest.jsonl,data1__Low-02,Low-02,data1,LEL,abnormal,causal_intervention_low,15,15,15,0
official_cv,fold_02,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_02/test_manifest.jsonl,data1__Low-05,Low-05,data1,LEL,abnormal,unseen_param_shift,16,16,16,0
official_cv,fold_03,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/train_manifest.jsonl,data1__Equiv-01,Equiv-01,data1,normal,normal,causal_equiv_test,13,13,13,0
official_cv,fold_03,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/train_manifest.jsonl,data1__Gen-01,Gen-01,data1,normal,normal,unseen_strategy_shift,11,11,10,1
official_cv,fold_03,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/train_manifest.jsonl,data1__Gen-03,Gen-03,data1,normal,normal,unseen_texture_shift,12,12,12,0
official_cv,fold_03,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/train_manifest.jsonl,data1__High-01,High-01,data1,normal,normal,causal_intervention_high,10,10,10,0
official_cv,fold_03,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/train_manifest.jsonl,data1__High-02,High-02,data1,HEW,abnormal,causal_intervention_high,12,12,12,0
official_cv,fold_03,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/train_manifest.jsonl,data1__High-06,High-06,data1,HEW,abnormal,unseen_composite_shift,15,15,15,0
official_cv,fold_03,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/train_manifest.jsonl,data1__High-07,High-07,data1,HEW,abnormal,unseen_texture_shift,7,7,7,0
official_cv,fold_03,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/train_manifest.jsonl,data1__High-08,High-08,data1,HEW,abnormal,unseen_texture_shift,12,12,12,0
official_cv,fold_03,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/train_manifest.jsonl,data1__Low-02,Low-02,data1,LEL,abnormal,causal_intervention_low,16,16,15,1
official_cv,fold_03,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/train_manifest.jsonl,data1__Low-05,Low-05,data1,LEL,abnormal,unseen_param_shift,18,18,16,2
official_cv,fold_03,train,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/train_manifest.jsonl,data1__Low-06,Low-06,data1,LEL,abnormal,unseen_param_shift,12,12,11,1
official_cv,fold_03,val,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/val_manifest.jsonl,data1__Base-01,Base-01,data1,normal,normal,source_train,14,14,14,0
official_cv,fold_03,val,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/val_manifest.jsonl,data1__High-03,High-03,data1,HEW,abnormal,causal_intervention_high,13,13,13,0
official_cv,fold_03,val,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/val_manifest.jsonl,data1__Low-01,Low-01,data1,normal,normal,causal_intervention_low,11,11,11,0
official_cv,fold_03,val,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/val_manifest.jsonl,data1__Low-04,Low-04,data1,LEL,abnormal,causal_intervention_low,22,22,22,0
official_cv,fold_03,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/test_manifest.jsonl,data1__Base-02,Base-02,data1,normal,normal,source_repeat,10,10,10,0
official_cv,fold_03,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/test_manifest.jsonl,data1__Equiv-02,Equiv-02,data1,normal,normal,causal_equiv_test,11,11,11,0
official_cv,fold_03,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/test_manifest.jsonl,data1__Gen-02,Gen-02,data1,normal,normal,unseen_texture_shift,13,13,13,0
official_cv,fold_03,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/test_manifest.jsonl,data1__High-04,High-04,data1,HEW,abnormal,causal_intervention_high,11,11,11,0
official_cv,fold_03,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/test_manifest.jsonl,data1__High-05,High-05,data1,HEW,abnormal,unseen_strategy_shift,16,16,16,0
official_cv,fold_03,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/test_manifest.jsonl,data1__Low-03,Low-03,data1,LEL,abnormal,causal_intervention_low,25,25,25,0
official_cv,fold_03,test,/home/gjw/code/SLM_data/processed_qwen_data1_protocol/official_cv/fold_03/test_manifest.jsonl,data1__Low-07,Low-07,data1,LEL,abnormal,unseen_composite_shift,10,10,10,0
